Time;Links
America  MG;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/America MG.png
America  RN;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/America RN.png
Atletico GO;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Atletico GO.png
Atletico MG;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Atletico MG.png
Atletico PR;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Atletico PR.png
Avai;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Avai.png
Bahia;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Bahia.png
Barueri;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Barueri.png
Botafogo;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Botafogo.png
Brasiliense;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Brasiliense.png
CSA;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/CSA.png
Ceara;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Ceara.png
Chapecoense;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Chapecoense.png
Corinthians;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Corinthians (1).png
Coritiba;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Coritiba.png
Criciuma;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Criciuma.png
Cruzeiro;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Cruzeiro.png
Figueirense;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Figueirense.png
Flamengo;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Flamengo.png
Fluminense;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Fluminense.png
Fortaleza;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Fortaleza.png
;
Goias;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Goias.png
Gremio Prudente;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Gremio Prudente.png
Gremio;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Gremio.png
Internacional;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Internacional.png
Ipatinga;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Ipatinga.png
Joinville;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Joinville.png
Juventude;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Juventude.png
Nautico;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Nautico.png
Palmeiras;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Palmeiras.png
Parana;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Parana.png
Paysandu;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Paysandu.png
Ponte Preta;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Ponte Preta.png
Portuguesa;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Portuguesa.png
Santa Cruz;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Santa Cruz.png
Santo Andre;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Santo Andre.png
Santos;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Santos.png
Sao Caetano;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Sao Caetano.png
Sao Paulo;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Sao Paulo.png
Sport;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Sport.png
Vasco;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Vasco.png
Vitoria;https://raw.githack.com/fsbmat-ufv/FilipeTCC/master/dashBrasileirao/www/Vitoria.png
